X_Value,Y1_Value,Y2_Value,Y3_Value
481,5179.470248,74941.83201,80121.30226
482,5403.808089,74942.30324,80346.11133
483,5634.260198,74942.85888,80577.11908
484,5870.704965,74943.55024,80814.25521
485,6113.020778,74944.4286,81057.44938
486,6361.086025,74945.54526,81306.63129
487,6614.779095,74946.95153,81561.73063
488,6873.978378,74948.69871,81822.67709
489,7138.56226,74950.83809,82089.40035
490,7408.409132,74953.42097,82361.8301
491,7683.397381,74956.49866,82639.89604
492,7963.405396,74960.12244,82923.52784
493,8248.311565,74964.34362,83212.65519
494,8537.994278,74969.2135,83507.20778
495,8832.331923,74974.78338,83807.1153
496,9131.202888,74981.10455,84112.30744
497,9434.485563,74988.22831,84422.71387
498,9742.058335,74996.20597,84738.26431
499,10053.79959,75005.08882,85058.88841
500,10369.58773,75014.92817,85384.5159
501,10689.30112,75025.7753,85715.07642
502,11012.81817,75037.68152,86050.49969
503,11340.01726,75050.69813,86390.71539
504,11670.77678,75064.87642,86735.6532
505,12004.97511,75080.2677,87085.24281
506,12342.49066,75096.92326,87439.41392
507,12683.20179,75114.89441,87798.0962
508,13026.98691,75134.23244,88161.21935
509,13373.72441,75154.98865,88528.71306
510,13723.29266,75177.21434,88900.507
511,14075.57006,75200.96081,89276.53087
512,14430.435,75226.27935,89656.71435
513,14787.76587,75253.22127,90040.98714
514,15147.44105,75281.83787,90429.27892
515,15509.33894,75312.18044,90821.51938
516,15873.33791,75344.30028,91217.63819
517,16239.31637,75378.2487,91617.56507
518,16607.1527,75414.07698,92021.22968
519,16976.72528,75451.83644,92428.56172
520,17347.91252,75491.57836,92839.49088
521,17720.59278,75533.35406,93253.94684
522,18094.64448,75577.21481,93671.85929
523,18469.94598,75623.21194,94093.15792
524,18846.37568,75671.39672,94517.7724
525,19223.81198,75721.82047,94945.63245
526,19602.13325,75774.53448,95376.66773
527,19981.21789,75829.59005,95810.80794
528,20360.94428,75887.03848,96247.98276
529,20741.19082,75946.93107,96688.12189
530,21121.83589,76009.31912,97131.15501
531,21502.75788,76074.25392,97577.0118
532,21883.83518,76141.78678,98025.62196
533,22264.94618,76211.96899,98476.91517
534,22645.96927,76284.85185,98930.82112
535,23026.78283,76360.48667,99387.2695
536,23407.26525,76438.92473,99846.18998
537,23787.29493,76520.21735,100307.5123
538,24166.75025,76604.41581,100771.1661
539,24545.5096,76691.57142,101237.081
540,24923.45137,76781.73548,101705.1869
541,25300.45394,76874.95928,102175.4132
542,25676.41675,76971.29113,102647.7079
543,26051.32341,77070.76733,103122.0907
544,26425.17857,77173.4212,103598.5998
545,26797.98689,77279.28604,104077.2729
546,27169.753,77388.39518,104558.1482
547,27540.48158,77500.78192,105041.2635
548,27910.17726,77616.47957,105526.6568
549,28278.8447,77735.52145,106014.3662
550,28646.48856,77857.94086,106504.4294
551,29013.11348,77983.77112,106996.8846
552,29378.72412,78113.04554,107491.7697
553,29743.32513,78245.79743,107989.1226
554,30106.92116,78382.06011,108488.9813
555,30469.51687,78521.86688,108991.3838
556,30831.1169,78665.25105,109496.368
557,31191.72591,78812.24594,110003.9719
558,31551.34855,78962.88486,110514.2334
559,31909.98947,79117.20112,111027.1906
560,32267.65333,79275.22804,111542.8814
561,32624.34478,79436.99891,112061.3437
562,32980.06846,79602.54707,112582.6155
563,33334.82904,79771.90581,113106.7349
564,33688.63116,79945.10844,113633.7396
565,34041.47948,80122.18829,114163.6678
566,34393.37865,80303.17866,114696.5573
567,34744.33331,80488.11286,115232.4462
568,35094.34813,80677.02421,115771.3723
569,35443.42776,80869.94602,116313.3738
570,35791.57684,81066.91159,116858.4884
571,36138.80003,81267.95424,117406.7543
572,36485.10198,81473.10728,117958.2093
573,36830.48735,81682.40403,118512.8914
574,37174.96078,81895.87779,119070.8386
575,37518.52693,82113.56187,119632.0888
576,37861.19046,82335.4896,120196.6801
577,38202.956,82561.69427,120764.6503
578,38543.82822,82792.2092,121336.0374
579,38883.81176,83027.06771,121910.8795
580,39222.91129,83266.3031,122489.2144
581,39561.13144,83509.94868,123071.0801
582,39898.47688,83758.03777,123656.5147
583,40234.95226,84010.60368,124245.5559
584,40570.56222,84267.67972,124838.2419
585,40905.31143,84529.2992,125434.6106
586,41239.20453,84795.49544,126034.7
587,41572.24617,85066.30174,126638.5479
588,41904.44101,85341.75142,127246.1924
589,42235.79369,85621.87778,127857.6715
590,42566.30888,85906.71415,128473.023
591,42895.99122,86196.29382,129092.285
592,43224.84537,86490.65012,129715.4955
593,43552.87598,86789.81635,130342.6923
594,43880.08769,87093.82583,130973.9135
595,44206.48517,87402.71187,131609.197
596,44532.07306,87716.50778,132248.5808
597,44856.85602,88035.24686,132892.1029
598,45180.8387,88358.96244,133539.8011
599,45504.02575,88687.68782,134191.7136
600,45826.42182,89021.45632,134847.8781
601,46148.03157,89360.30125,135508.3328
602,46468.85216,89704.18809,136173.0403
603,46788.85083,90052.81104,136841.6619
604,47107.98731,90405.79646,137513.7838
605,47426.22137,90762.77073,138188.9921
606,47743.51273,91123.36022,138866.873
607,48059.82116,91487.19129,139547.0125
608,48375.1064,91853.89031,140228.9967
609,48689.32819,92223.08366,140912.4119
610,49002.44627,92594.39769,141596.844
611,49314.42041,92967.45879,142281.8792
612,49625.21033,93341.89331,142967.1036
613,49934.7758,93717.32764,143652.1034
614,50243.07655,94093.38813,144336.4647
615,50550.07234,94469.70116,145019.7735
616,50855.7229,94845.89309,145701.616
617,51159.98799,95221.5903,146381.5783
618,51462.82735,95596.41915,147059.2465
619,51764.20073,95970.00602,147734.2068
620,52064.06787,96341.97727,148406.0451
621,52362.38853,96711.95926,149074.3478
622,52659.12244,97079.57838,149738.7008
623,52954.22936,97444.46099,150398.6904
624,53247.66903,97806.23345,151053.9025
625,53539.4012,98164.52215,151703.9234
626,53829.38561,98518.95344,152348.3391
627,54117.58201,98869.15369,152986.7357
628,54403.95015,99214.74928,153618.6994
629,54688.44977,99555.36657,154243.8163
630,54971.04062,99890.63194,154861.6726
631,55251.68245,100220.1717,155471.8542
632,55530.335,100543.6124,156073.9474
633,55806.95802,100860.5802,156667.5382
634,56081.51126,101170.7015,157252.2128
635,56353.95446,101473.6028,157827.5573
636,56624.24736,101768.9103,158393.1577
637,56892.34973,102056.2505,158948.6002
638,57158.2213,102335.2498,159493.4711
639,57421.82181,102605.5344,160027.3562
640,57683.11102,102866.7308,160549.8418
641,57942.04867,103118.4653,161060.514
642,58198.59451,103360.3643,161558.9588
643,58452.70829,103592.0542,162044.7625
644,58704.34975,103813.1613,162517.5111
645,58953.47863,104023.3121,162976.7907
646,59200.05469,104222.1328,163422.1875
647,59444.03767,104409.2499,163853.2876
648,59685.38731,104584.2897,164269.677
649,59924.06337,104746.8785,164670.9419
650,60160.02559,104896.6428,165056.6684
651,60393.23372,105033.209,165426.4427
652,60623.6475,105156.2033,165779.8508
653,60851.22668,105265.2522,166116.4789
654,61075.93101,105359.9821,166435.9131
655,61297.72023,105440.0192,166737.7394
656,61516.55409,105504.99,167021.5441
657,61732.39233,105554.5208,167286.9131
658,61945.19471,105588.2381,167533.4328
659,62154.92097,105605.7681,167760.6891
660,62361.53085,105606.7372,167968.2681
661,62564.9841,105590.7719,168155.756
662,62765.24476,105557.6631,168322.9079
663,62962.29399,105507.8605,168470.1545
664,63156.11725,105441.9785,168598.0958
665,63346.70001,105360.6312,168707.3312
666,63534.0277,105264.4332,168798.4609
667,63718.0858,105153.9986,168872.0844
668,63898.85976,105029.9417,168928.8015
669,64076.33504,104892.877,168969.212
670,64250.49708,104743.4187,168993.9158
671,64421.33136,104582.1812,169003.5126
672,64588.82332,104409.7787,168998.602
673,64752.95842,104226.8256,168979.784
674,64913.72212,104033.9362,168947.6583
