X_Value,Y1_Value,Base,Variation,Y4_Value,Y3_Value,Y2_Value
288,10104.66027,534551.1875,-70170.90625,464380.2813,74701.8043,378958.5747
289,10742.94593,534551.1875,-69512.34375,465038.8438,74706.66106,378958.5747
290,11395.95512,534551.1875,-68838.6875,465712.5,74711.54583,378958.5747
291,12064.01399,534551.1875,-68149.6875,466401.5,74716.44463,-400000
292,790878.1803,534551.1875,-67445.0625,467106.125,74721.34343,-400000
293,791577.1478,534551.1875,-66724.5625,467826.625,74726.22825,-400000
294,792291.9872,534551.1875,-65987.875,468563.3125,74731.08506,-400000
295,793023.0244,534551.1875,-65234.78125,469316.4063,74735.89989,-400000
296,793770.4921,534551.1875,-64464.9375,470086.25,74740.65871,-400000
297,794534.7475,534551.1875,-63678.15625,470873.0313,74745.34754,-400000
298,795315.9921,534551.1875,-62874.09375,471677.0938,74749.95235,-400000
299,796114.583,534551.1875,-62052.5,472498.6875,74754.45917,-400000
300,796930.7841,534551.1875,-61213.125,473338.0625,74758.85397,-400000
301,797764.8591,534551.1875,-60355.6875,474195.5,74763.12277,-400000
302,798617.1028,534551.1875,-59480.03125,475071.1563,74767.25388,-400000
303,799487.6831,534551.1875,-58586.65625,475964.5313,74771.24497,-400000
304,800376.103,534551.1875,-57676.125,476875.0625,74775.09605,-400000
305,801281.8005,534551.1875,-56749.0625,477802.125,74778.80712,-400000
306,802204.1513,534551.1875,-55806.0625,478745.125,74782.37816,-400000
307,803142.5624,534551.1875,-54847.75,479703.4375,74785.80918,-400000
308,804096.4093,534551.1875,-53874.6875,480676.5,74789.10018,-400000
309,805065.1303,534551.1875,-52887.5,481663.6875,74792.25116,-400000
310,806048.1009,534551.1875,-51886.78125,482664.4063,74795.26212,-400000
311,807044.7281,534551.1875,-50873.125,483678.0625,74798.13304,-400000
312,808054.4188,534551.1875,-49847.15625,484704.0313,74800.86396,-400000
313,809076.5486,534551.1875,-48809.46875,485741.7188,74803.45483,-400000
314,810110.5245,534551.1875,-47760.65625,486790.5313,74805.90568,-400000
315,811155.7532,534551.1875,-46701.34375,487849.8438,74808.21651,-400000
316,812211.6106,534551.1875,-45632.09375,488919.0938,74810.38729,-400000
317,813277.5347,534551.1875,-44553.53125,489997.6563,74812.41806,-400000
318,814352.9012,534551.1875,-43466.28125,491084.9063,74814.30878,-400000
319,815437.0857,534551.1875,-42370.90625,492180.2813,74816.05948,-400000
320,816529.5265,534551.1875,-41268,493283.1875,74817.67014,-400000
321,817629.6302,534551.1875,-40158.21875,494392.9688,74819.14075,-400000
322,818736.7415,534551.1875,-39042.125,495509.0625,74820.47134,-400000
323,819850.2985,534551.1875,-37920.3125,496630.875,74821.66188,-400000
324,820969.7079,534551.1875,-36793.4375,497757.75,74822.71239,-400000
325,822094.3144,534551.1875,-35662.03125,498889.1563,74823.62286,-400000
326,823223.5871,534551.1875,-34526.75,500024.4375,74824.39329,-400000
327,824356.8706,534551.1875,-33388.15625,501163.0313,74825.02367,-400000
328,825493.603,534551.1875,-32246.875,502304.3125,74825.514,-400000
329,826633.16,534551.1875,-31103.5,503447.6875,74825.86429,-400000
330,827774.9484,534551.1875,-29958.625,504592.5625,74826.07454,-400000
331,828918.3751,534551.1875,-28812.90625,505738.2813,74826.14474,-400000
332,830062.7846,534551.1875,-27666.875,506884.3125,74826.07488,-400000
333,831207.6463,534551.1875,-26521.15625,508030.0313,74825.86498,-400000
334,832352.3357,534551.1875,-25376.34375,509174.8438,74825.51503,-400000
335,833496.2598,534551.1875,-24233.0625,510318.125,74825.02502,-400000
336,834638.7943,534551.1875,-23091.9375,511459.25,74824.39497,-400000
337,835779.3148,534551.1875,-21953.5,512597.6875,74823.62485,-400000
338,836917.2907,534551.1875,-20818.40625,513732.7813,74822.71468,-400000
339,838052.0664,534551.1875,-19687.21875,514863.9688,74821.66445,-400000
340,839183.08,534551.1875,-18560.5625,515990.625,74820.47417,-400000
341,840309.7071,534551.1875,-17439.0625,517112.125,74819.14383,-400000
342,841431.3235,534551.1875,-16323.28125,518227.9063,74817.67342,-400000
343,842547.3671,534551.1875,-15213.84375,519337.3438,74816.06296,-400000
344,843657.2137,534551.1875,-14111.34375,520439.8438,74814.31243,-400000
345,844760.27,534551.1875,-13016.375,521534.8125,74812.42184,-400000
346,845855.9429,534551.1875,-11929.5625,522621.625,74810.39118,-400000
347,846943.6079,534551.1875,-10851.5,523699.6875,74808.22046,-400000
348,848022.6717,534551.1875,-9782.75,524768.4375,74805.90967,-400000
349,849092.572,534551.1875,-8724,525827.1875,74803.45881,-400000
350,850152.6217,534551.1875,-7675.75,526875.4375,74800.86789,-400000
351,851202.3206,534551.1875,-6638.6875,527912.5,74798.13689,-400000
352,852240.9809,534551.1875,-5613.3125,528937.875,74795.26582,-400000
353,853268.1013,534551.1875,-4600.375,529950.8125,74792.25468,-400000
354,854282.9301,534551.1875,-3600.375,530950.8125,74789.10346,-400000
355,855284.9635,534551.1875,-2613.875,531937.3125,74785.81217,-400000
356,856273.789,534551.1875,-1641.625,532909.5625,74782.3808,-400000
357,857248.4159,534551.1875,-684.0625,533867.125,74778.80935,-400000
358,858208.5124,534551.1875,258.0625,534809.25,74775.09783,-400000
359,859153.3204,534551.1875,1184.3125,535735.5,74771.24621,-400000
360,860082.4174,534551.1875,2093.9375,536645.125,74767.25453,-400000
361,860995.0295,534551.1875,2986.375,537537.5625,74763.12277,-239717.3811
362,701740.1394,534551.1875,3861.25,538412.4375,74758.85325,-239717.3811
363,702618.3387,534551.1875,4718.6875,539269.875,74754.45766,-239717.3811
364,703479.2452,534551.1875,5559.1875,540110.375,74749.94999,-239717.3811
365,704323.3444,534551.1875,6383.125,540934.3125,74745.34426,-239717.3811
366,705150.9967,534551.1875,7190.875,541742.0625,74740.65449,-9588.695243
367,476058.4863,534551.1875,7982.875,542534.0625,74735.89466,-9588.695243
368,476854.3937,534551.1875,8759.5,543310.6875,74731.0788,-9588.695243
369,477634.9986,534551.1875,9521.125,544072.3125,74726.2209,-9588.695243
370,478400.6615,534551.1875,10268.125,544819.3125,74721.33497,-9588.695243
371,479151.743,534551.1875,11001,545552.1875,74716.43502,-383.5478097
372,470693.4217,534551.1875,11720.125,546271.3125,74711.53507,-383.5478097
373,471416.6722,534551.1875,12425.8125,546977,74706.64911,-383.5478097
374,472126.4855,534551.1875,13118.5625,547669.75,74701.79115,-383.5478097
375,472823.3471,534551.1875,13798.6875,548349.875,74696.9752,-383.5478097
376,473507.5553,534551.1875,14466.6875,549017.875,74692.21527,-15.3419124
377,473811.7844,534551.1875,15122.8125,549674,74687.52537,-15.3419124
