Y_Value,X_Value,Z_Value
-162.0246286,1148,6.012463651
-160.2504269,1149,6.6518146
-158.6177564,1150,7.240163369
-157.1230181,1151,7.778806931
-155.7626129,1152,8.269042262
-154.5329416,1153,8.712166337
-153.4304051,1154,9.109476132
-152.4514044,1155,9.462268621
-151.5923403,1156,9.771840781
-150.8496136,1157,10.03948959
-150.2196254,1158,10.26651201
-149.6987764,1159,10.45420503
-149.2834676,1160,10.60386562
-148.9700999,1161,10.71679076
-148.755074,1162,10.79427742
-148.634791,1163,10.83762258
-148.6056517,1164,10.84812321
-148.664057,1165,10.82707628
-148.8064078,1166,10.77577878
-149.029105,1167,10.69552767
-149.3285495,1168,10.58761994
-149.701142,1169,10.45335256
-150.1432837,1170,10.2940225
-150.6513752,1171,10.11092674
-151.2218176,1172,9.905362251
-151.8510117,1173,9.678626013
-152.5353583,1174,9.432014999
-153.2712585,1175,9.166826185
-154.055113,1176,8.884356546
-154.8833228,1177,8.585903057
-155.7522887,1178,8.272762693
-156.6584116,1179,7.94623243
-157.5980925,1180,7.607609243
-158.5677321,1181,7.258190107
-159.5637315,1182,6.899271997
-160.5824914,1183,6.532151889
